Date,Watch time (hours)
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0.0059
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0.2527
2020-04-13,0.1812
2020-04-14,0.0801
2020-04-15,0.9345
2020-04-16,0.4711
2020-04-17,3.8578
2020-04-18,0.9632
2020-04-19,0.2259
2020-04-20,3.5023
2020-04-21,3.2475
2020-04-22,0.0229
2020-04-23,2.4327
2020-04-24,1.1448
2020-04-25,0.9335
2020-04-26,0.2504
2020-04-27,0.2313
2020-04-28,2.8376
2020-04-29,2.7767
2020-04-30,3.1541
2020-05-01,1.326
2020-05-02,3.1217
2020-05-03,1.0227
2020-05-04,1.6695
2020-05-05,4.6335
2020-05-06,2.5104
2020-05-07,2.7354
2020-05-08,6.3538
2020-05-09,3.0169
2020-05-10,1.83
2020-05-11,4.3582
2020-05-12,3.8423
2020-05-13,8.38
2020-05-14,3.4497
2020-05-15,1.3609
2020-05-16,2.3302
2020-05-17,0.304
2020-05-18,6.084
2020-05-19,4.1054
2020-05-20,6.537
2020-05-21,2.6071
2020-05-22,2.4333
2020-05-23,3.5906
2020-05-24,0.854
2020-05-25,0.1259
2020-05-26,0.4089
2020-05-27,2.6757
2020-05-28,1.6999
2020-05-29,1.3913
2020-05-30,0
2020-05-31,4.1116
2020-06-01,2.7122
2020-06-02,2.0472
2020-06-03,5.7076
2020-06-04,1.7832
2020-06-05,2.6916
2020-06-06,1.6482
2020-06-07,2.185
2020-06-08,2.3951
2020-06-09,6.127
2020-06-10,1.1792
2020-06-11,2.0386
2020-06-12,1.1888
2020-06-13,1.6747
2020-06-14,1.6486
2020-06-15,2.5418
2020-06-16,0.4331
2020-06-17,0.4123
2020-06-18,1.2696
2020-06-19,2.1088
2020-06-20,3.1472
2020-06-21,2.1147
2020-06-22,11.0003
2020-06-23,2.0247
2020-06-24,1.9922
2020-06-25,7.0328
2020-06-26,4.4484
2020-06-27,1.1473
2020-06-28,4.1495
2020-06-29,9.4576
2020-06-30,2.4754
2020-07-01,6.8094
2020-07-02,2.3284
2020-07-03,1.748
2020-07-04,1.5239
2020-07-05,0.9963
2020-07-06,1.1811
2020-07-07,1.2072
2020-07-08,1.8986
2020-07-09,1.33
2020-07-10,5.6865
2020-07-11,0.6148
2020-07-12,3.7797
2020-07-13,4.4853
2020-07-14,4.1601
2020-07-15,1.4398
2020-07-16,1.5152
2020-07-17,1.5874
2020-07-18,0
2020-07-19,0.1477
2020-07-20,1.8511
2020-07-21,0.0336
2020-07-22,0.9915
2020-07-23,1.1108
2020-07-24,1.394
2020-07-25,2.3387
2020-07-26,2.3465
2020-07-27,2.2095
2020-07-28,0.7568
2020-07-29,0.768
2020-07-30,0.8887
2020-07-31,0.0072
2020-08-01,1.844
2020-08-02,0.4602
2020-08-03,2.966
2020-08-04,0.1299
2020-08-05,1.3831
2020-08-06,0.951
2020-08-07,0.1378
2020-08-08,1.0992
2020-08-09,0.7414
2020-08-10,1.8767
2020-08-11,0.0867
2020-08-12,0.0018
2020-08-13,0.6355
2020-08-14,0.2621
2020-08-15,1.5602
2020-08-16,0.8515
2020-08-17,0.9223
2020-08-18,0.4188
2020-08-19,0.3706
2020-08-20,5.2053
2020-08-21,0.0875
2020-08-22,0
2020-08-23,0.0129
2020-08-24,0.3898
2020-08-25,0.7548
2020-08-26,0.6744
2020-08-27,0.5134
2020-08-28,1.8663
2020-08-29,0
2020-08-30,0.487
2020-08-31,0.6379
2020-09-01,0.063
2020-09-02,1.4027
2020-09-03,0.4401
2020-09-04,2.8854
2020-09-05,0.3688
2020-09-06,0.0644
2020-09-07,2.833
2020-09-08,3.4228
2020-09-09,1.2331
2020-09-10,2.5375
2020-09-11,0.8768
2020-09-12,0.7332
2020-09-13,3.0962
2020-09-14,5.499
2020-09-15,0
2020-09-16,1.9853
2020-09-17,1.2857
2020-09-18,0.468
2020-09-19,0
2020-09-20,0.8653
2020-09-21,0.1662
2020-09-22,2.1384
2020-09-23,4.1453
2020-09-24,3.5118
2020-09-25,2.1358
2020-09-26,0.2254
2020-09-27,1.1887
2020-09-28,0.0005
2020-09-29,0.1223
2020-09-30,0.0002
2020-10-01,0.2156
2020-10-02,0.0002
2020-10-03,0.0001
2020-10-04,0.3405
2020-10-05,0.6037
2020-10-06,1.2934
2020-10-07,0.5561
2020-10-08,0.0018
2020-10-09,0.1294
2020-10-10,1.878
2020-10-11,2.2234
2020-10-12,0.3957
2020-10-13,2.206
2020-10-14,0.169
2020-10-15,0.2995
2020-10-16,1.1564
2020-10-17,2.5829
2020-10-18,0.2898
2020-10-19,0.6035
2020-10-20,2.5992
2020-10-21,0.3531
2020-10-22,0.9455
2020-10-23,3.5966
2020-10-24,0.634
2020-10-25,0.0551
2020-10-26,2.7457
2020-10-27,0.9641
2020-10-28,1.7049
2020-10-29,0.1252
2020-10-30,0.5321
2020-10-31,0.112
2020-11-01,0.2948
2020-11-02,0.2995
2020-11-03,2.8972
2020-11-04,2.4213
2020-11-05,0.0953
2020-11-06,1.5388
2020-11-07,0.0924
2020-11-08,0.9832
2020-11-09,1.1264
2020-11-10,0.2607
2020-11-11,0.0303
2020-11-12,0.5448
2020-11-13,0.7231
2020-11-14,0.0539
2020-11-15,0.0407
2020-11-16,0.0445
2020-11-17,0.9013
2020-11-18,2.1018
2020-11-19,0
2020-11-20,0.0242
2020-11-21,0.0553
2020-11-22,0.0629
2020-11-23,0.298
2020-11-24,1.1238
2020-11-25,0.0199
2020-11-26,0.0007
2020-11-27,0
2020-11-28,0.8329
2020-11-29,0.5212
2020-11-30,0.8858
2020-12-01,0.751
2020-12-02,4.3904
2020-12-03,2.058
2020-12-04,0.9548
2020-12-05,0
2020-12-06,0.0728
2020-12-07,0.0182
2020-12-08,1.0808
2020-12-09,2.2639
2020-12-10,1.612
2020-12-11,0.1012
2020-12-12,0.0339
2020-12-13,0.5563
2020-12-14,0.1416
2020-12-15,0.0077
2020-12-16,1.1551
2020-12-17,0.2935
2020-12-18,0.0026
2020-12-19,0
2020-12-20,0.0608
2020-12-21,0.1868
2020-12-22,0.6552
2020-12-23,0.0031
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0.4888
2020-12-28,0.3838
2020-12-29,2.7263
2020-12-30,0.5642
2020-12-31,1.5405
2021-01-01,0.0925
2021-01-02,0.3205
2021-01-03,0.0504
2021-01-04,0.0511
2021-01-05,0.7076
2021-01-06,0.6306
2021-01-07,1.8958
2021-01-08,0.3619
2021-01-09,0.2386
2021-01-10,0.3468
2021-01-11,4.8337
2021-01-12,0.3231
2021-01-13,0.7112
2021-01-14,0.0171
2021-01-15,0.7335
2021-01-16,0
2021-01-17,0.0008
2021-01-18,0.1557
2021-01-19,1.6856
2021-01-20,0.4306
2021-01-21,0.8967
2021-01-22,0.0127
2021-01-23,0.4009
2021-01-24,0.1147
2021-01-25,0.0113
2021-01-26,0.0192
2021-01-27,0.0783
2021-01-28,0.9063
2021-01-29,1.5249
2021-01-30,0
2021-01-31,0.8981
2021-02-01,1.8844
2021-02-02,2.9848
2021-02-03,0.8799
2021-02-04,0.2063
2021-02-05,0.1663
2021-02-06,0.0113
2021-02-07,0.1034
2021-02-08,2.243
2021-02-09,2.1248
2021-02-10,1.6779
2021-02-11,0.5456
2021-02-12,0.2351
2021-02-13,0
2021-02-14,0.6302
2021-02-15,2.6052
2021-02-16,2.3689
2021-02-17,2.6547
2021-02-18,1.669
2021-02-19,0.258
2021-02-20,0.7271
2021-02-21,0
2021-02-22,0.3379
2021-02-23,1.1318
2021-02-24,0.5403
2021-02-25,0.2257
2021-02-26,2.3823
2021-02-27,0.0864
2021-02-28,2.842
2021-03-01,2.7284
2021-03-02,0.2252
2021-03-03,0.2572
2021-03-04,2.2029
2021-03-05,1.9363
2021-03-06,1.2874
2021-03-07,0
2021-03-08,3.3133
2021-03-09,0.8975
2021-03-10,1.5535
2021-03-11,1.5764
2021-03-12,0.2565
2021-03-13,0.9895
2021-03-14,0.0026
2021-03-15,1.1201
2021-03-16,1.1231
2021-03-17,0.1026
2021-03-18,0
2021-03-19,0.8995
2021-03-20,0.0006
2021-03-21,0
2021-03-22,0.1428
2021-03-23,1.3041
2021-03-24,0.0716
2021-03-25,0.0345
2021-03-26,0
2021-03-27,0.5103
2021-03-28,0.5751
2021-03-29,2.5403
2021-03-30,2.6825
2021-03-31,0.3012
2021-04-01,1.3482
2021-04-02,0.143
2021-04-03,0.06
2021-04-04,0.8409
2021-04-05,0.11
2021-04-06,3.6831
2021-04-07,1.2299
2021-04-08,0.2055
2021-04-09,0.4782
2021-04-10,0.0281
2021-04-11,0.411
2021-04-12,1.0657
2021-04-13,1.8147
2021-04-14,0.0044
2021-04-15,0.0681
2021-04-16,0.8317
2021-04-17,0
2021-04-18,0.0048
2021-04-19,1.1901
2021-04-20,0.2253
2021-04-21,0.599
