Date,Views
2020-04-05,0
2020-04-06,5
2020-04-07,43
2020-04-08,60
2020-04-09,53
2020-04-10,74
2020-04-11,26
2020-04-12,45
2020-04-13,86
2020-04-14,102
2020-04-15,159
2020-04-16,127
2020-04-17,145
2020-04-18,81
2020-04-19,45
2020-04-20,139
2020-04-21,75
2020-04-22,55
2020-04-23,57
2020-04-24,73
2020-04-25,56
2020-04-26,26
2020-04-27,77
2020-04-28,72
2020-04-29,59
2020-04-30,63
2020-05-01,91
2020-05-02,59
2020-05-03,38
2020-05-04,100
2020-05-05,165
2020-05-06,171
2020-05-07,141
2020-05-08,105
2020-05-09,74
2020-05-10,54
2020-05-11,206
2020-05-12,133
2020-05-13,145
2020-05-14,88
2020-05-15,91
2020-05-16,41
2020-05-17,66
2020-05-18,73
2020-05-19,125
2020-05-20,160
2020-05-21,92
2020-05-22,81
2020-05-23,36
2020-05-24,38
2020-05-25,39
2020-05-26,75
2020-05-27,94
2020-05-28,66
2020-05-29,62
2020-05-30,13
2020-05-31,52
2020-06-01,72
2020-06-02,61
2020-06-03,91
2020-06-04,67
2020-06-05,75
2020-06-06,89
2020-06-07,50
2020-06-08,83
2020-06-09,91
2020-06-10,85
2020-06-11,88
2020-06-12,59
2020-06-13,37
2020-06-14,42
2020-06-15,44
2020-06-16,97
2020-06-17,55
2020-06-18,65
2020-06-19,75
2020-06-20,21
2020-06-21,71
2020-06-22,77
2020-06-23,69
2020-06-24,99
2020-06-25,83
2020-06-26,95
2020-06-27,70
2020-06-28,70
2020-06-29,80
2020-06-30,68
2020-07-01,91
2020-07-02,84
2020-07-03,57
2020-07-04,35
2020-07-05,48
2020-07-06,50
2020-07-07,38
2020-07-08,43
2020-07-09,42
2020-07-10,65
2020-07-11,33
2020-07-12,68
2020-07-13,128
2020-07-14,107
2020-07-15,61
2020-07-16,41
2020-07-17,33
2020-07-18,15
2020-07-19,29
2020-07-20,38
2020-07-21,28
2020-07-22,52
2020-07-23,46
2020-07-24,39
2020-07-25,40
2020-07-26,54
2020-07-27,62
2020-07-28,43
2020-07-29,63
2020-07-30,58
2020-07-31,17
2020-08-01,18
2020-08-02,21
2020-08-03,66
2020-08-04,82
2020-08-05,58
2020-08-06,22
2020-08-07,23
2020-08-08,20
2020-08-09,24
2020-08-10,56
2020-08-11,43
2020-08-12,41
2020-08-13,14
2020-08-14,14
2020-08-15,27
2020-08-16,18
2020-08-17,31
2020-08-18,34
2020-08-19,21
2020-08-20,58
2020-08-21,24
2020-08-22,3
2020-08-23,11
2020-08-24,18
2020-08-25,16
2020-08-26,29
2020-08-27,40
2020-08-28,37
2020-08-29,12
2020-08-30,9
2020-08-31,26
2020-09-01,19
2020-09-02,35
2020-09-03,26
2020-09-04,38
2020-09-05,14
2020-09-06,16
2020-09-07,31
2020-09-08,36
2020-09-09,39
2020-09-10,30
2020-09-11,36
2020-09-12,22
2020-09-13,27
2020-09-14,66
2020-09-15,8
2020-09-16,23
2020-09-17,57
2020-09-18,42
2020-09-19,10
2020-09-20,26
2020-09-21,41
2020-09-22,51
2020-09-23,65
2020-09-24,80
2020-09-25,33
2020-09-26,17
2020-09-27,23
2020-09-28,21
2020-09-29,35
2020-09-30,29
2020-10-01,25
2020-10-02,25
2020-10-03,10
2020-10-04,24
2020-10-05,42
2020-10-06,53
2020-10-07,26
2020-10-08,61
2020-10-09,39
2020-10-10,45
2020-10-11,39
2020-10-12,44
2020-10-13,87
2020-10-14,39
2020-10-15,33
2020-10-16,52
2020-10-17,48
2020-10-18,32
2020-10-19,46
2020-10-20,59
2020-10-21,42
2020-10-22,56
2020-10-23,75
2020-10-24,36
2020-10-25,28
2020-10-26,62
2020-10-27,48
2020-10-28,59
2020-10-29,44
2020-10-30,59
2020-10-31,15
2020-11-01,26
2020-11-02,30
2020-11-03,49
2020-11-04,65
2020-11-05,18
2020-11-06,40
2020-11-07,17
2020-11-08,26
2020-11-09,36
2020-11-10,26
2020-11-11,35
2020-11-12,36
2020-11-13,38
2020-11-14,18
2020-11-15,23
2020-11-16,26
2020-11-17,34
2020-11-18,35
2020-11-19,22
2020-11-20,37
2020-11-21,20
2020-11-22,24
2020-11-23,49
2020-11-24,50
2020-11-25,43
2020-11-26,22
2020-11-27,11
2020-11-28,26
2020-11-29,24
2020-11-30,71
2020-12-01,30
2020-12-02,69
2020-12-03,36
2020-12-04,43
2020-12-05,13
2020-12-06,19
2020-12-07,17
2020-12-08,49
2020-12-09,54
2020-12-10,48
2020-12-11,33
2020-12-12,28
2020-12-13,24
2020-12-14,57
2020-12-15,32
2020-12-16,38
2020-12-17,36
2020-12-18,16
2020-12-19,16
2020-12-20,25
2020-12-21,27
2020-12-22,36
2020-12-23,35
2020-12-24,6
2020-12-25,4
2020-12-26,6
2020-12-27,15
2020-12-28,32
2020-12-29,53
2020-12-30,30
2020-12-31,52
2021-01-01,22
2021-01-02,32
2021-01-03,29
2021-01-04,66
2021-01-05,36
2021-01-06,34
2021-01-07,51
2021-01-08,53
2021-01-09,15
2021-01-10,34
2021-01-11,49
2021-01-12,40
2021-01-13,30
2021-01-14,38
2021-01-15,50
2021-01-16,18
2021-01-17,20
2021-01-18,30
2021-01-19,63
2021-01-20,25
2021-01-21,23
2021-01-22,21
2021-01-23,22
2021-01-24,13
2021-01-25,44
2021-01-26,26
2021-01-27,41
2021-01-28,54
2021-01-29,48
2021-01-30,25
2021-01-31,28
2021-02-01,66
2021-02-02,70
2021-02-03,65
2021-02-04,47
2021-02-05,58
2021-02-06,17
2021-02-07,15
2021-02-08,51
2021-02-09,37
2021-02-10,65
2021-02-11,46
2021-02-12,38
2021-02-13,11
2021-02-14,35
2021-02-15,40
2021-02-16,52
2021-02-17,43
2021-02-18,29
2021-02-19,93
2021-02-20,33
2021-02-21,31
2021-02-22,46
2021-02-23,45
2021-02-24,47
2021-02-25,26
2021-02-26,40
2021-02-27,28
2021-02-28,55
2021-03-01,37
2021-03-02,21
2021-03-03,22
2021-03-04,44
2021-03-05,48
2021-03-06,28
2021-03-07,26
2021-03-08,60
2021-03-09,42
2021-03-10,32
2021-03-11,45
2021-03-12,32
2021-03-13,29
2021-03-14,15
2021-03-15,62
2021-03-16,58
2021-03-17,71
2021-03-18,28
2021-03-19,43
2021-03-20,32
2021-03-21,33
2021-03-22,45
2021-03-23,58
2021-03-24,62
2021-03-25,42
2021-03-26,14
2021-03-27,26
2021-03-28,28
2021-03-29,28
2021-03-30,49
2021-03-31,20
2021-04-01,49
2021-04-02,86
2021-04-03,59
2021-04-04,50
2021-04-05,77
2021-04-06,131
2021-04-07,65
2021-04-08,58
2021-04-09,73
2021-04-10,39
2021-04-11,36
2021-04-12,49
2021-04-13,57
2021-04-14,38
2021-04-15,35
2021-04-16,30
2021-04-17,14
2021-04-18,15
2021-04-19,85
2021-04-20,48
2021-04-21,34
