Date,"Total Enabled Membership","Enabled Full Members","Enabled Guests","Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Total Full Members","Total Guests","Total Claimed Full Members","Total Claimed Guests","Total Members","Total Claimed Members","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2020-03-16,20,20,0,17,9,17,9,11,0,0,50,0.1803,0,0.8197,0.54,0,0.46,0,0,0,0,0,0,0,61,0,3,82,0
2020-03-17,36,36,0,29,17,31,21,39,0,0,32,0.5493,0,0.4507,0.7641,0,0.2359,0,0,0,0,0,0,1,71,0,3,89,0
2020-03-18,45,45,0,39,25,40,30,138,0,0,30,0.8214,0,0.1786,0.9155,0,0.0845,0,0,0,0,0,0,0,168,0,3,183,0
2020-03-19,49,49,0,35,18,42,32,58,0,0,16,0.7838,0,0.2162,0.8805,0,0.1195,0,0,0,0,0,0,2,74,0,3,101,0
2020-03-20,54,54,0,36,15,49,38,40,0,0,7,0.8511,0,0.1489,0.9237,0,0.0763,0,0,0,0,0,0,2,47,0,4,67,0
2020-03-21,55,55,0,26,9,50,39,12,0,0,4,0.75,0,0.25,0.9352,0,0.0648,0,0,0,0,0,0,0,16,0,4,17,0
2020-03-22,55,55,0,14,6,50,39,3,0,0,18,0.1429,0,0.8571,0.6377,0,0.3623,0,0,0,0,0,0,0,21,0,4,21,0
2020-03-23,54,54,0,37,15,50,39,33,0,0,37,0.4714,0,0.5286,0.7753,0,0.2247,0,0,0,0,0,0,5,70,0,13,89,0
2020-03-24,57,57,0,38,10,52,38,34,0,0,33,0.5075,0,0.4925,0.7962,0,0.2038,0,0,0,0,0,0,1,67,0,15,77,0
2020-03-25,59,59,0,38,17,52,34,93,0,0,525,0.1505,0,0.8495,0.2636,0,0.7364,0,0,0,0,0,0,21,618,0,15,651,2
2020-03-26,59,59,0,34,15,50,31,68,0,0,89,0.4331,0,0.5669,0.5854,0,0.4146,0,0,0,0,0,0,0,157,0,15,160,0
2020-03-27,61,61,0,32,12,49,26,20,0,0,123,0.1399,0,0.8601,0.471,0,0.529,0,0,0,0,0,0,4,143,0,15,151,0
2020-03-28,61,61,0,23,9,50,27,13,0,0,17,0.4333,0,0.5667,0.8466,0,0.1534,0,0,0,0,0,0,0,30,0,15,30,0
2020-03-29,61,61,0,18,6,50,27,5,0,0,10,0.3333,0,0.6667,0.75,0,0.25,0,0,0,0,0,0,0,15,0,15,16,0
2020-03-30,61,61,0,35,17,47,26,43,14,0,129,0.2312,0.0753,0.6935,0.5561,0.0374,0.4065,0,0,0,0,0,0,0,186,0,15,196,1
2020-03-31,61,61,0,34,17,45,26,52,0,0,118,0.3059,0,0.6941,0.539,0,0.461,0,0,0,0,0,0,0,170,0,15,172,0
2020-04-01,61,61,0,36,18,44,26,105,0,0,121,0.4646,0,0.5354,0.7025,0,0.2975,0,0,0,0,0,0,2,226,0,15,229,0
2020-04-02,61,61,0,24,12,43,26,61,0,0,59,0.5083,0,0.4917,0.6766,0,0.3234,0,0,0,0,0,0,2,120,0,15,122,0
2020-04-03,61,61,0,31,17,43,26,46,1,0,90,0.3358,0.0073,0.6569,0.6553,0.0108,0.3339,0,0,0,0,0,0,1,137,0,16,138,0
2020-04-04,61,61,0,22,6,42,26,4,0,0,16,0.2,0,0.8,0.7,0.0222,0.2778,0,0,0,0,0,0,0,20,0,16,20,0
2020-04-05,101,101,0,43,13,55,25,20,0,0,121,0.1418,0,0.8582,0.6386,0.0031,0.3583,0,0,0,0,0,0,2,141,0,14,158,1
2020-04-06,184,184,0,97,28,108,37,44,44,0,120,0.2115,0.2115,0.5769,0.6176,0.1858,0.1966,0,0,0,0,0,0,1,208,0,14,267,0
2020-04-07,258,258,0,178,59,199,75,75,92,0,198,0.2055,0.2521,0.5425,0.7018,0.1131,0.1852,0,0,0,0,0,0,8,365,0,14,462,1
2020-04-08,288,288,0,177,48,241,94,49,128,0,293,0.1043,0.2723,0.6234,0.5973,0.1261,0.2765,0,0,0,0,0,0,8,470,0,14,599,0
2020-04-09,314,314,0,196,37,266,106,54,144,0,95,0.1843,0.4915,0.3242,0.7172,0.1628,0.12,0,0,0,0,0,0,10,293,0,14,420,0
2020-04-10,322,322,0,159,32,281,113,58,113,0,68,0.2427,0.4728,0.2845,0.6393,0.2281,0.1326,0,0,0,0,0,0,4,239,0,14,359,0
2020-04-11,329,329,0,105,16,291,116,21,19,0,33,0.2877,0.2603,0.4521,0.7961,0.0801,0.1239,0,0,0,0,0,0,3,73,0,14,94,3
2020-04-12,337,337,0,60,10,293,117,10,7,0,47,0.1563,0.1094,0.7344,0.5816,0.1122,0.3061,0,0,0,0,0,0,0,64,0,14,66,0
2020-04-13,346,346,0,149,28,300,111,77,61,0,150,0.2674,0.2118,0.5208,0.7022,0.1149,0.1829,0,0,0,0,0,0,0,288,0,14,357,2
2020-04-14,356,356,0,165,21,299,83,16,53,0,86,0.1032,0.3419,0.5548,0.6829,0.1399,0.1771,0,0,0,0,0,0,1,155,0,14,218,4
2020-04-15,373,373,0,168,35,289,73,55,89,0,213,0.1541,0.2493,0.5966,0.5905,0.183,0.2264,0,0,0,0,0,0,11,357,0,14,421,1
2020-04-16,378,378,0,134,28,268,66,40,55,0,38,0.3008,0.4135,0.2857,0.7585,0.1523,0.0891,0,0,0,0,0,0,2,133,0,14,168,4
2020-04-17,382,382,0,152,27,280,60,89,12,0,55,0.5705,0.0769,0.3526,0.8349,0.0495,0.1157,0,0,0,0,0,0,0,156,0,16,192,2
2020-04-18,386,386,0,83,12,281,58,12,8,0,44,0.1875,0.125,0.6875,0.7243,0.0832,0.1926,0,0,0,0,0,0,1,64,0,16,69,2
2020-04-19,400,400,0,55,11,280,58,11,13,0,8,0.3438,0.4063,0.25,0.7699,0.159,0.0711,0,0,0,0,0,0,0,32,0,16,36,0
2020-04-20,404,404,0,151,20,281,54,96,53,0,95,0.3934,0.2172,0.3893,0.739,0.1186,0.1423,0,0,0,0,0,0,4,244,0,16,295,3
2020-04-21,410,410,0,139,19,270,56,22,47,0,125,0.1134,0.2423,0.6443,0.6374,0.1644,0.1981,0,0,0,0,0,0,4,194,0,16,225,3
2020-04-22,411,411,0,141,23,258,49,25,67,0,40,0.1894,0.5076,0.303,0.6948,0.2072,0.0979,0,0,0,0,0,0,1,132,0,16,172,1
2020-04-23,414,414,0,120,18,253,46,35,8,0,78,0.2893,0.0661,0.6446,0.7515,0.0307,0.2178,0,0,0,0,0,0,1,121,0,16,154,1
2020-04-24,415,415,0,112,18,240,41,45,30,0,5,0.5625,0.375,0.0625,0.8109,0.1611,0.028,0,0,0,0,0,0,4,80,0,16,108,3
2020-04-25,417,417,0,68,9,239,40,4,9,0,12,0.16,0.36,0.48,0.7716,0.1164,0.1121,0,0,0,0,0,0,0,25,0,16,43,1
2020-04-26,418,418,0,77,12,239,39,19,6,0,32,0.3333,0.1053,0.5614,0.758,0.0452,0.1968,0,0,0,0,0,0,2,57,0,16,89,2
2020-04-27,420,420,0,115,24,231,42,67,5,0,156,0.2939,0.0219,0.6842,0.6776,0.0263,0.2961,0,0,0,0,0,0,7,228,0,16,247,2
2020-04-28,424,424,0,117,26,222,44,46,42,0,74,0.284,0.2593,0.4568,0.7376,0.1095,0.1529,0,0,0,0,0,0,8,162,0,16,190,3
2020-04-29,424,424,0,114,27,213,42,64,42,0,128,0.2735,0.1795,0.547,0.6201,0.1218,0.2581,0,0,0,0,0,0,1,234,0,16,262,2
2020-04-30,426,426,0,121,18,207,42,51,11,0,73,0.3778,0.0815,0.5407,0.7521,0.0627,0.1852,0,0,0,0,0,0,6,135,0,16,159,1
2020-05-01,428,428,0,102,24,201,44,23,12,0,149,0.125,0.0652,0.8098,0.6054,0.0578,0.3368,0,0,0,0,0,0,2,184,0,16,195,1
2020-05-02,429,429,0,70,10,203,44,10,3,0,7,0.5,0.15,0.35,0.8,0.1149,0.0851,0,0,0,0,0,0,0,20,0,16,24,3
2020-05-03,429,429,0,56,6,202,45,3,6,0,6,0.2,0.4,0.4,0.8475,0.096,0.0565,0,0,0,0,0,0,2,15,0,16,20,1
2020-05-04,432,432,0,111,26,200,44,25,19,0,138,0.1374,0.1044,0.7582,0.6015,0.0668,0.3317,0,0,0,0,0,0,2,182,0,16,197,1
2020-05-05,439,439,0,92,16,201,46,17,28,0,130,0.0971,0.16,0.7429,0.5231,0.1324,0.3445,0,0,0,0,0,0,5,175,0,16,192,3
2020-05-06,451,451,0,131,24,210,43,68,84,0,166,0.2138,0.2642,0.522,0.5824,0.1875,0.2301,0,0,0,0,0,0,11,318,0,16,379,1
2020-05-07,453,453,0,103,27,207,46,25,32,0,30,0.2874,0.3678,0.3448,0.6573,0.2034,0.1394,0,0,0,0,0,0,3,87,0,16,112,1
2020-05-08,455,455,0,91,13,197,44,5,5,0,22,0.1563,0.1563,0.6875,0.7911,0.0548,0.1541,0,0,0,0,0,0,1,32,0,16,49,0
2020-05-09,455,455,0,54,9,197,44,4,2,0,24,0.1333,0.0667,0.8,0.7602,0.0175,0.2222,0,0,0,0,0,0,0,30,0,16,32,1
2020-05-10,458,458,0,44,8,196,43,2,5,0,95,0.0196,0.049,0.9314,0.304,0.0696,0.6264,0,0,0,0,0,0,1,102,0,16,106,1
2020-05-11,460,460,0,102,10,193,39,10,2,0,231,0.0412,0.0082,0.9506,0.4868,0.0201,0.4931,0,0,0,0,0,0,4,243,0,16,268,0
2020-05-12,463,463,0,99,14,196,39,7,11,0,45,0.1111,0.1746,0.7143,0.6888,0.098,0.2133,0,0,0,0,0,0,0,63,0,16,81,2
2020-05-13,466,466,0,101,21,188,37,26,23,0,205,0.1024,0.0906,0.8071,0.5102,0.0539,0.4359,0,0,0,0,0,0,1,254,0,17,269,1
2020-05-14,469,469,0,114,19,185,35,20,16,0,57,0.2151,0.172,0.6129,0.7189,0.1039,0.1772,0,0,0,0,0,0,2,93,0,17,112,1
2020-05-15,469,469,0,105,16,185,33,10,28,0,58,0.1042,0.2917,0.6042,0.5988,0.1624,0.2387,0,0,0,0,0,0,5,96,0,17,126,0
2020-05-16,470,470,0,34,6,187,33,1,22,0,3,0.0385,0.8462,0.1154,0.5146,0.4272,0.0583,0,0,0,0,0,0,1,26,0,17,28,0
2020-05-17,471,471,0,32,6,190,32,1,12,0,1,0.0714,0.8571,0.0714,0.5146,0.4078,0.0777,0,0,0,0,0,0,1,14,0,17,18,1
2020-05-18,474,474,0,92,16,182,32,10,13,0,31,0.1852,0.2407,0.5741,0.7205,0.1231,0.1564,0,0,0,0,0,0,1,54,0,17,63,1
2020-05-19,474,474,0,104,20,184,34,15,22,0,192,0.0655,0.0961,0.8384,0.4621,0.0922,0.4457,0,0,0,0,0,0,6,229,0,17,248,3
2020-05-20,476,476,0,103,15,190,31,26,21,0,60,0.243,0.1963,0.5607,0.6747,0.1308,0.1945,0,0,0,0,0,0,2,107,0,17,118,1
2020-05-21,477,477,0,65,13,187,28,2,16,0,100,0.0169,0.1356,0.8475,0.3077,0.0994,0.5929,0,0,0,0,0,0,5,118,0,17,141,0
2020-05-22,477,477,0,65,14,176,27,29,12,0,31,0.4028,0.1667,0.4306,0.6907,0.1291,0.1802,0,0,0,0,0,0,6,72,0,17,84,0
2020-05-23,477,477,0,35,7,176,27,6,1,0,9,0.375,0.0625,0.5625,0.7176,0.0471,0.2353,0,0,0,0,0,0,1,16,0,17,17,0
2020-05-24,477,477,0,32,5,176,28,5,0,0,2,0.7143,0,0.2857,0.8947,0.0263,0.0789,0,0,0,0,0,0,0,7,0,17,8,1
2020-05-25,478,478,0,46,8,172,28,21,1,0,31,0.3962,0.0189,0.5849,0.575,0.0563,0.3688,0,0,0,0,0,0,3,53,0,17,62,0
2020-05-26,480,480,0,81,13,169,29,12,4,0,24,0.3,0.1,0.6,0.7652,0.0795,0.1553,0,0,0,0,0,0,0,40,0,17,61,2
2020-05-27,481,481,0,86,16,161,28,20,8,0,123,0.1325,0.053,0.8146,0.553,0.0618,0.3852,0,0,0,0,0,0,2,151,0,17,163,1
2020-05-28,481,481,0,80,12,151,28,6,0,0,27,0.1818,0,0.8182,0.7949,0.0037,0.2015,0,0,0,0,0,0,4,33,0,17,52,1
2020-05-29,481,481,0,52,12,154,30,2,3,0,34,0.0513,0.0769,0.8718,0.5515,0.0727,0.3758,0,0,0,0,0,0,1,39,0,17,53,0
2020-05-30,481,481,0,21,7,150,29,3,0,0,21,0.125,0,0.875,0.4035,0.0351,0.5614,0,0,0,0,0,0,1,24,0,17,26,0
2020-05-31,481,481,0,17,3,147,28,2,1,0,3,0.3333,0.1667,0.5,0.6129,0.0968,0.2903,0,0,0,0,0,0,0,6,0,17,7,1
2020-06-01,482,482,0,66,17,152,30,13,12,0,53,0.1667,0.1538,0.6795,0.5559,0.1708,0.2733,0,0,0,0,0,0,3,78,0,17,118,1
2020-06-02,482,482,0,66,17,149,30,6,14,0,62,0.0732,0.1707,0.7561,0.339,0.261,0.4,0,0,0,0,0,0,0,82,0,17,90,1
2020-06-03,482,482,0,87,22,144,34,50,17,0,32,0.5051,0.1717,0.3232,0.7921,0.0832,0.1248,0,0,0,0,0,0,0,99,0,17,104,1
2020-06-04,482,482,0,77,10,144,33,7,5,0,43,0.1273,0.0909,0.7818,0.5878,0.1143,0.298,0,0,0,0,0,0,4,55,0,17,64,1
2020-06-05,486,486,0,70,13,151,31,4,8,0,58,0.0571,0.1143,0.8286,0.5906,0.1074,0.302,0,0,0,0,0,0,0,70,0,17,73,1
2020-06-06,487,487,0,24,6,152,31,2,0,0,4,0.3333,0,0.6667,0.7447,0.0426,0.2128,0,0,0,0,0,0,0,6,0,17,14,0
2020-06-07,487,487,0,32,6,153,32,3,0,0,6,0.3333,0,0.6667,0.7595,0.0127,0.2278,0,0,0,0,0,0,0,9,0,17,9,0
2020-06-08,490,490,0,137,16,183,35,37,3,0,94,0.2761,0.0224,0.7015,0.7238,0.0262,0.25,0,0,0,0,0,0,4,134,0,17,157,3
2020-06-09,491,491,0,112,16,197,31,24,13,0,192,0.1048,0.0568,0.8384,0.4645,0.0696,0.4659,0,0,0,0,0,0,5,229,0,17,246,1
2020-06-10,492,492,0,66,10,201,27,8,3,0,50,0.1311,0.0492,0.8197,0.5941,0.0886,0.3173,0,0,0,0,0,0,2,61,0,17,73,1
2020-06-11,492,492,0,50,13,194,26,11,13,0,78,0.1078,0.1275,0.7647,0.4216,0.1254,0.453,0,0,0,0,0,0,2,102,0,17,119,0
2020-06-12,493,493,0,42,13,192,29,8,0,0,111,0.0672,0,0.9328,0.4378,0.0162,0.5459,0,0,0,0,0,0,2,119,0,17,135,0
2020-06-13,493,493,0,18,0,199,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0
2020-06-14,493,493,0,7,0,200,28,0,0,0,0,0,0,0,0.8125,0,0.1875,0,0,0,0,0,0,0,0,0,17,0,0
2020-06-15,493,493,0,46,16,177,27,36,7,0,73,0.3103,0.0603,0.6293,0.7119,0.0535,0.2346,0,0,0,0,0,0,0,116,0,17,130,1
2020-06-16,497,497,0,69,16,150,29,4,0,0,103,0.0374,0,0.9626,0.5288,0.0288,0.4423,0,0,0,0,0,0,1,107,0,17,148,0
2020-06-17,499,499,0,76,16,143,29,41,0,0,176,0.1889,0,0.8111,0.5359,0.0026,0.4615,0,0,0,0,0,0,4,217,0,17,230,1
2020-06-18,502,502,0,74,8,147,28,8,0,0,97,0.0762,0,0.9238,0.6639,0,0.3361,0,0,0,0,0,0,1,105,0,17,114,0
2020-06-19,502,502,0,46,8,141,26,11,0,0,169,0.0611,0,0.9389,0.3408,0,0.6592,0,0,0,0,0,0,7,180,0,17,200,0
2020-06-20,502,502,0,22,5,133,26,2,0,0,12,0.1429,0,0.8571,0.775,0,0.225,0,0,0,0,0,0,0,14,0,17,14,0
2020-06-21,506,506,0,23,3,139,26,4,0,0,1,0.8,0,0.2,0.9024,0,0.0976,0,0,0,0,0,0,0,5,0,17,8,1
2020-06-22,509,509,0,43,12,143,25,19,19,0,27,0.2923,0.2923,0.4154,0.7089,0.1013,0.1899,0,0,0,0,0,0,0,65,0,17,75,0
2020-06-23,510,510,0,42,10,141,22,8,2,0,111,0.0661,0.0165,0.9174,0.3349,0.0465,0.6186,0,0,0,0,0,0,1,121,0,17,132,0
2020-06-24,511,511,0,104,14,153,21,23,10,0,210,0.0947,0.0412,0.8642,0.5849,0.0351,0.3801,0,0,0,0,0,0,4,243,0,17,257,1
2020-06-25,511,511,0,74,13,159,23,7,0,0,86,0.0753,0,0.9247,0.5727,0,0.4273,0,0,0,0,0,0,7,93,0,17,106,0
2020-06-26,511,511,0,65,12,165,24,7,0,0,126,0.0526,0,0.9474,0.4669,0,0.5331,0,0,0,0,0,0,0,133,0,17,139,0
2020-06-27,513,513,0,37,10,167,25,7,0,0,24,0.2258,0,0.7742,0.8095,0,0.1905,0,0,0,0,0,0,0,31,0,17,31,0
2020-06-28,518,518,0,30,7,166,27,3,3,0,41,0.0638,0.0638,0.8723,0.4646,0.0606,0.4747,0,0,0,0,0,0,0,47,0,17,48,0
2020-06-29,519,519,0,78,16,170,30,21,6,0,129,0.1346,0.0385,0.8269,0.6499,0.024,0.3261,0,0,0,0,0,0,2,156,0,17,169,1
2020-06-30,520,520,0,78,14,171,29,12,4,0,147,0.0736,0.0245,0.9018,0.5235,0.0111,0.4654,0,0,0,0,0,0,2,163,0,17,175,2
2020-07-01,523,523,0,76,16,161,33,50,6,0,115,0.2924,0.0351,0.6725,0.743,0.0241,0.2329,0,0,0,0,0,0,5,171,0,17,192,2
2020-07-02,523,523,0,74,12,151,33,24,1,0,36,0.3934,0.0164,0.5902,0.9327,0.0088,0.0585,0,0,0,0,0,0,6,61,0,17,81,1
2020-07-03,525,525,0,59,3,144,32,2,0,0,8,0.2,0,0.8,0.9154,0,0.0846,0,0,0,0,0,0,0,10,0,17,15,1
2020-07-04,525,525,0,34,3,141,31,1,0,0,3,0.25,0,0.75,0.9206,0.0159,0.0635,0,0,0,0,0,0,0,4,0,17,10,3
2020-07-05,525,525,0,15,2,139,29,0,0,0,2,0,0,1,0.6875,0.0938,0.2188,0,0,0,0,0,0,1,2,0,17,3,0
2020-07-06,528,528,0,69,11,135,27,15,3,0,82,0.15,0.03,0.82,0.6772,0.0246,0.2982,0,0,0,0,0,0,2,100,0,17,112,2
2020-07-07,529,529,0,75,10,136,26,16,7,0,93,0.1379,0.0603,0.8017,0.7643,0.0248,0.2109,0,0,0,0,0,0,0,116,0,17,132,5
2020-07-08,532,532,0,75,11,141,23,23,18,0,52,0.2473,0.1935,0.5591,0.8042,0.0313,0.1645,0,0,0,0,0,0,3,93,0,17,106,2
2020-07-09,533,533,0,67,12,136,24,17,0,0,47,0.2656,0,0.7344,0.7727,0.0227,0.2045,0,0,0,0,0,0,1,64,0,17,80,2
2020-07-10,534,534,0,65,5,134,23,2,0,0,130,0.0152,0,0.9848,0.5907,0,0.4093,0,0,0,0,0,0,0,132,0,17,144,2
2020-07-11,535,535,0,12,4,135,23,0,0,0,13,0,0,1,0.4688,0.0313,0.5,0,0,0,0,0,0,0,13,0,17,15,0
2020-07-12,535,535,0,11,2,133,23,0,0,0,15,0,0,1,0.4194,0,0.5806,0,0,0,0,0,0,1,15,0,17,17,0
2020-07-13,536,536,0,67,5,137,21,4,1,0,98,0.0388,0.0097,0.9515,0.6444,0.0167,0.3389,0,0,0,0,0,0,1,103,0,17,113,2
2020-07-14,539,539,0,64,7,138,20,6,0,0,10,0.375,0,0.625,0.9054,0,0.0946,0,0,0,0,0,0,0,16,0,17,24,1
2020-07-15,540,540,0,99,17,150,25,9,1,0,98,0.0833,0.0093,0.9074,0.6896,0.0357,0.2747,0,0,0,0,0,0,2,108,0,17,121,2
2020-07-16,540,540,0,66,12,150,25,13,0,0,41,0.2407,0,0.7593,0.8594,0.0052,0.1354,0,0,0,0,0,0,0,54,0,17,63,1
