Date,"Total Enabled Membership","Enabled Full Members","Enabled Guests","Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Total Full Members","Total Guests","Total Claimed Full Members","Total Claimed Guests","Total Members","Total Claimed Members","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2020-12-16,580,580,0,19,2,84,9,2,0,0,2,0.5,0,0.5,1,0,0,658,0,579,0,658,579,0,4,0,17,5,0
2020-12-17,580,580,0,13,4,54,9,6,0,0,28,0.1765,0,0.8235,0.5,0,0.5,658,0,579,0,658,579,0,34,0,17,39,0
2020-12-18,580,580,0,20,4,47,9,0,0,0,295,0,0,1,0.0627,0,0.9373,658,0,579,0,658,579,2,295,0,17,298,0
2020-12-19,580,580,0,12,2,45,9,21,0,0,13,0.6176,0,0.3824,0.9714,0,0.0286,658,0,579,0,658,579,0,34,0,17,35,0
2020-12-20,580,580,0,2,0,42,9,0,0,0,0,0,0,0,1,0,0,658,0,579,0,658,579,0,0,0,17,3,0
2020-12-21,580,580,0,10,2,42,6,0,0,0,6,0,0,1,0.9524,0,0.0476,658,0,579,0,658,579,0,6,0,17,8,0
2020-12-22,580,580,0,23,5,50,8,51,0,0,111,0.3148,0,0.6852,0.4109,0,0.5891,658,0,579,0,658,579,1,162,0,17,164,0
2020-12-23,580,580,0,6,3,45,8,2,1,0,132,0.0148,0.0074,0.9778,0.0407,0.0058,0.9535,658,0,579,0,658,579,2,135,0,17,147,0
2020-12-24,580,580,0,4,1,46,8,2,0,0,1,0.6667,0,0.3333,1,0,0,658,0,579,0,658,579,0,3,0,17,5,0
2020-12-25,580,580,0,2,0,41,6,0,0,0,0,0,0,0,0.75,0.25,0,658,0,579,0,658,579,0,0,0,17,2,0
2020-12-26,580,580,0,2,0,37,5,0,0,0,0,0,0,0,1,0,0,658,0,579,0,658,579,0,0,0,17,1,0
2020-12-27,580,580,0,1,0,36,5,0,0,0,0,0,0,0,1,0,0,658,0,579,0,658,579,0,0,0,17,3,0
2020-12-28,580,580,0,4,0,31,5,0,0,0,0,0,0,0,0.5,0.25,0.25,658,0,579,0,658,579,0,0,0,17,10,0
2020-12-29,580,580,0,4,0,19,3,0,0,0,0,0,0,0,1,0,0,658,0,579,0,658,579,0,0,0,17,1,0
2020-12-30,581,581,0,13,2,23,2,35,0,0,0,1,0,0,1,0,0,660,0,580,0,660,580,0,35,0,17,35,0
2020-12-31,581,581,0,10,1,29,2,1,0,0,0,1,0,0,0.9375,0,0.0625,660,0,580,0,660,580,0,1,0,17,4,0
2021-01-01,581,581,0,6,0,31,2,0,0,0,0,0,0,0,0.8571,0.1429,0,660,0,580,0,660,580,0,0,0,17,0,0
2021-01-02,581,581,0,2,0,32,2,0,0,0,0,0,0,0,1,0,0,660,0,580,0,660,580,0,0,0,17,0,0
2021-01-03,581,581,0,16,4,39,6,5,1,0,0,0.8333,0.1667,0,1,0,0,660,0,580,0,660,580,1,6,0,17,7,0
2021-01-04,581,581,0,29,7,50,10,7,20,0,0,0.2593,0.7407,0,0.5325,0.4545,0.013,660,0,580,0,660,580,7,27,0,17,33,0
2021-01-05,581,581,0,16,1,58,10,0,0,0,1,0,0,1,0.6,0.1714,0.2286,660,0,580,0,660,580,7,1,0,17,17,0
2021-01-06,581,581,0,14,4,58,9,1,5,0,0,0.1667,0.8333,0,0.8,0.2,0,660,0,580,0,660,580,0,6,0,17,8,0
2021-01-07,581,581,0,19,4,56,10,3,14,0,0,0.1765,0.8235,0,0.6596,0.3404,0,660,0,580,0,660,580,1,17,0,17,21,0
2021-01-08,581,581,0,23,7,59,13,9,17,0,7,0.2727,0.5152,0.2121,0.5634,0.338,0.0986,660,0,580,0,660,580,4,33,0,17,38,0
2021-01-09,581,581,0,18,3,60,14,5,3,0,0,0.625,0.375,0,0.8462,0.1282,0.0256,660,0,580,0,660,580,0,8,0,17,9,0
2021-01-10,581,581,0,9,1,58,13,0,3,0,0,0,1,0,0.7857,0.2143,0,660,0,580,0,660,580,0,3,0,17,4,0
2021-01-11,581,581,0,19,1,59,10,0,0,0,1,0,0,1,0.8667,0.1,0.0333,660,0,580,0,660,580,0,1,0,17,5,0
2021-01-12,581,581,0,42,2,71,11,1,1,0,0,0.5,0.5,0,0.898,0.102,0,660,0,580,0,660,580,0,2,0,17,4,0
2021-01-13,581,581,0,55,5,76,11,1,5,0,2,0.125,0.625,0.25,0.8451,0.1127,0.0423,660,0,580,0,660,580,0,8,0,17,11,0
2021-01-14,581,581,0,20,4,78,12,21,0,0,2,0.913,0,0.087,0.9882,0.0118,0,660,0,580,0,660,580,0,23,0,17,27,0
2021-01-15,581,581,0,24,6,79,13,3,8,0,5,0.1875,0.5,0.3125,0.7021,0.234,0.0638,660,0,580,0,660,580,0,16,0,17,16,0
2021-01-16,581,581,0,7,0,79,11,0,0,0,0,0,0,0,0.7778,0.2222,0,660,0,580,0,660,580,0,0,0,17,0,0
2021-01-17,581,581,0,1,0,78,11,0,0,0,0,0,0,0,1,0,0,660,0,580,0,660,580,0,0,0,17,0,0
2021-01-18,581,581,0,10,2,76,11,1,0,0,1,0.5,0,0.5,0.8333,0.0833,0.0833,660,0,580,0,660,580,0,2,0,17,3,0
2021-01-19,581,581,0,13,4,79,14,0,5,0,9,0,0.3571,0.6429,0.4615,0.359,0.1795,660,0,580,0,660,580,0,14,0,17,15,0
2021-01-20,581,581,0,54,8,78,15,16,9,0,135,0.1,0.0563,0.8438,0.4375,0.0625,0.5,660,0,580,0,660,580,2,160,0,17,162,0
2021-01-21,581,581,0,31,6,76,16,11,0,0,19,0.3667,0,0.6333,0.7917,0.0104,0.1979,660,0,580,0,660,580,0,30,0,17,37,0
2021-01-22,581,581,0,18,1,79,15,0,2,0,0,0,1,0,0.8636,0.1364,0,660,0,580,0,660,580,0,2,0,17,5,0
2021-01-23,581,581,0,3,0,80,15,0,0,0,0,0,0,0,0.6667,0.3333,0,660,0,580,0,660,580,0,0,0,17,0,0
2021-01-24,581,581,0,4,0,82,15,0,0,0,0,0,0,0,1,0,0,660,0,580,0,660,580,0,0,0,17,0,0
2021-01-25,581,581,0,25,8,87,16,2,41,0,1,0.0455,0.9318,0.0227,0.2762,0.7238,0,660,0,580,0,660,580,1,44,0,17,47,0
2021-01-26,581,581,0,29,10,86,15,2,125,0,69,0.0102,0.6378,0.352,0.1978,0.5522,0.25,660,0,580,0,660,580,2,196,0,17,201,0
2021-01-27,581,581,0,98,7,124,13,6,34,0,6,0.1304,0.7391,0.1304,0.7532,0.2255,0.0213,660,0,580,0,660,580,5,46,0,17,53,0
2021-01-28,581,581,0,44,7,134,11,12,17,0,5,0.3529,0.5,0.1471,0.6796,0.2718,0.0485,660,0,580,0,660,580,0,34,0,17,36,0
2021-01-29,582,582,0,30,7,138,13,9,9,0,3,0.4286,0.4286,0.1429,0.623,0.3279,0.0492,666,0,581,0,666,581,0,21,0,17,24,0
2021-01-30,583,583,0,0,0,136,13,0,0,0,0,0,0,0,0,0,0,666,0,582,0,666,582,0,0,0,17,0,0
2021-01-31,583,583,0,4,1,135,13,0,0,0,3,0,0,1,0.4286,0.1429,0.4286,666,0,582,0,666,582,0,3,0,17,3,0
2021-02-01,586,586,0,16,3,140,13,0,1,0,2,0,0.3333,0.6667,0.5926,0.1852,0.2222,666,0,585,0,666,585,0,3,0,17,6,0
2021-02-02,588,588,0,37,3,147,14,4,0,0,0,1,0,0,0.9,0,0.1,669,0,587,0,669,587,0,4,0,17,9,0
2021-02-03,589,589,0,33,4,98,16,8,0,0,0,1,0,0,0.9767,0,0.0233,669,0,588,0,669,588,2,8,0,17,18,0
2021-02-04,589,589,0,50,6,92,15,6,8,0,0,0.4286,0.5714,0,0.8022,0.1538,0.044,669,0,588,0,669,588,1,14,0,17,24,0
2021-02-05,592,592,0,23,4,86,13,1,2,0,27,0.0333,0.0667,0.9,0.431,0.0345,0.5345,673,0,591,0,673,591,0,30,0,17,31,0
2021-02-06,592,592,0,36,3,93,14,2,2,0,1,0.4,0.4,0.2,0.8605,0.1163,0.0233,673,0,591,0,673,591,1,5,0,17,7,0
2021-02-07,592,592,0,23,3,96,14,3,0,0,0,1,0,0,0.9722,0,0.0278,673,0,591,0,673,591,0,3,0,17,4,0
2021-02-08,592,592,0,22,3,92,14,4,0,0,0,1,0,0,0.9355,0.0323,0.0323,673,0,591,0,673,591,0,4,0,17,9,0
2021-02-09,592,592,0,12,1,92,14,1,0,0,0,1,0,0,0.85,0.05,0.1,673,0,591,0,673,591,0,1,0,17,7,0
2021-02-10,592,592,0,40,10,101,15,21,2,0,9,0.6563,0.0625,0.2813,0.8316,0.0632,0.1053,673,0,591,0,673,591,0,32,0,17,38,0
2021-02-11,593,593,0,28,9,105,18,9,2,0,4,0.6,0.1333,0.2667,0.6462,0.2615,0.0923,673,0,592,0,673,592,0,15,0,17,19,0
2021-02-12,593,593,0,19,4,107,17,1,2,0,8,0.0909,0.1818,0.7273,0.5217,0.2826,0.1957,673,0,592,0,673,592,0,11,0,17,19,0
2021-02-13,593,593,0,11,1,92,17,0,1,0,0,0,1,0,0.5789,0.4211,0,673,0,592,0,673,592,0,1,0,17,1,0
2021-02-14,596,596,0,9,1,86,16,0,1,0,0,0,1,0,0.5333,0.4,0.0667,682,0,595,0,682,595,0,1,0,17,2,0
2021-02-15,601,601,0,18,1,82,15,0,1,0,0,0,1,0,0.7,0.3,0,682,0,600,0,682,600,0,1,0,17,4,0
2021-02-16,603,603,0,16,5,83,15,0,4,0,1,0,0.8,0.2,0.1333,0.7,0.1667,686,0,602,0,686,602,3,5,0,17,17,0
2021-02-17,604,604,0,11,3,67,12,0,9,0,0,0,1,0,0.2,0.7,0.1,686,0,603,0,686,603,0,9,0,17,13,0
2021-02-18,604,604,0,24,4,66,10,7,11,0,16,0.2059,0.3235,0.4706,0.3875,0.35,0.2625,686,0,603,0,686,603,0,34,0,17,45,0
2021-02-19,604,604,0,29,7,64,11,5,5,0,73,0.0602,0.0602,0.8795,0.248,0.192,0.56,686,0,603,0,686,603,0,83,0,17,88,0
2021-02-20,604,604,0,8,1,63,11,0,1,0,0,0,1,0,0.1667,0.8333,0,686,0,603,0,686,603,0,1,0,17,1,0
2021-02-21,604,604,0,16,1,66,11,1,0,0,0,1,0,0,0.7586,0.1724,0.069,686,0,603,0,686,603,2,1,0,17,4,0
2021-02-22,604,604,0,34,10,62,12,4,12,0,79,0.0421,0.1263,0.8316,0.3868,0.1604,0.4528,686,0,603,0,686,603,0,95,0,17,100,0
2021-02-23,605,605,0,19,5,64,13,0,7,0,19,0,0.2692,0.7308,0.1667,0.4167,0.4167,687,0,604,0,687,604,0,26,0,17,29,0
2021-02-24,605,605,0,22,8,69,16,1,2,0,9,0.0833,0.1667,0.75,0.5366,0.2195,0.2439,687,0,604,0,687,604,0,12,0,17,15,0
2021-02-25,605,605,0,23,5,68,16,4,22,0,3,0.1379,0.7586,0.1034,0.3194,0.6528,0.0278,687,0,604,0,687,604,0,29,0,17,32,0
2021-02-26,605,605,0,25,6,66,16,0,10,0,2,0,0.8333,0.1667,0.1481,0.7778,0.0741,687,0,604,0,687,604,0,12,0,17,14,0
2021-02-27,605,605,0,3,1,65,16,0,4,0,0,0,1,0,0,1,0,687,0,604,0,687,604,0,4,0,17,4,0
2021-02-28,605,605,0,9,3,65,16,0,2,0,3,0,0.4,0.6,0.4,0.4,0.2,687,0,604,0,687,604,0,5,0,17,6,0
2021-03-01,605,605,0,18,12,54,15,0,14,0,19,0,0.4242,0.5758,0.0141,0.7324,0.2535,687,0,604,0,687,604,0,33,0,17,37,0
2021-03-02,605,605,0,14,5,51,16,0,5,0,13,0,0.2778,0.7222,0,0.6563,0.3438,687,0,604,0,687,604,0,18,0,17,22,0
2021-03-03,605,605,0,38,6,60,16,7,0,0,91,0.0714,0,0.9286,0.359,0.0192,0.6218,687,0,604,0,687,604,4,98,0,17,103,0
2021-03-04,605,605,0,40,4,77,17,5,0,0,12,0.2941,0,0.7059,0.8,0,0.2,687,0,604,0,687,604,1,17,0,17,21,0
2021-03-05,606,606,0,15,4,79,15,3,6,0,1,0.3,0.6,0.1,0.5714,0.3929,0.0357,689,0,605,0,689,605,0,10,0,17,12,0
2021-03-06,606,606,0,4,1,80,15,1,0,0,0,1,0,0,0.5,0.5,0,689,0,605,0,689,605,0,1,0,17,1,0
2021-03-07,606,606,0,6,1,81,15,0,1,0,0,0,1,0,0.8182,0.1818,0,689,0,605,0,689,605,0,1,0,17,3,0
2021-03-08,606,606,0,20,8,85,15,0,18,0,3,0,0.8571,0.1429,0.1408,0.8169,0.0423,689,0,605,0,689,605,0,21,0,17,27,0
2021-03-09,606,606,0,35,8,89,15,2,10,0,14,0.0769,0.3846,0.5385,0.5,0.3778,0.1222,689,0,605,0,689,605,1,26,0,17,33,0
2021-03-10,606,606,0,19,8,83,15,1,10,0,27,0.0263,0.2632,0.7105,0.1905,0.3651,0.4444,689,0,605,0,689,605,1,38,0,17,43,0
2021-03-11,606,606,0,47,10,76,18,13,5,0,42,0.2364,0.0909,0.7636,0.6696,0.0609,0.2696,689,0,605,0,689,605,3,55,0,17,65,0
2021-03-12,606,606,0,26,3,81,16,1,2,0,3,0.2,0.4,0.6,0.7647,0.0588,0.1765,689,0,605,0,689,605,0,5,0,17,14,0
2021-03-13,606,606,0,6,1,84,16,1,0,0,1,1,0,1,0.7857,0.0714,0.1429,689,0,605,0,689,605,0,1,0,17,5,0
2021-03-14,606,606,0,7,0,83,16,0,0,0,0,0,0,0,0.8,0.0667,0.1333,689,0,605,0,689,605,0,0,0,17,2,0
2021-03-15,607,607,0,17,6,84,16,0,18,0,27,0,0.4,0.6,0.1774,0.3226,0.5,691,0,606,0,691,606,1,45,0,17,47,0
2021-03-16,609,609,0,24,9,85,15,5,52,0,20,0.0658,0.6842,0.2632,0.2339,0.5968,0.1694,692,0,608,0,692,608,12,76,0,17,84,0
2021-03-17,609,609,0,109,2,128,14,0,8,0,0,0,1,0,0.863,0.1164,0.0205,692,0,608,0,692,608,2,8,0,17,13,0
2021-03-18,609,609,0,40,9,133,13,17,2,0,25,0.3864,0.0455,0.5682,0.6055,0.1468,0.2477,692,0,608,0,692,608,0,44,0,17,48,0
2021-03-19,609,609,0,21,3,134,12,0,3,0,9,0,0.25,0.75,0.4054,0.3514,0.2432,692,0,608,0,692,608,0,12,0,17,16,0
2021-03-20,609,609,0,9,4,135,12,0,1,0,19,0,0.05,0.95,0.1304,0.3043,0.5652,692,0,608,0,692,608,5,20,0,17,25,0
2021-03-21,612,612,0,9,4,138,12,0,2,0,3,0,0.4,0.6,0.3684,0.3684,0.2632,699,0,611,0,699,611,2,5,0,17,8,0
2021-03-22,618,618,0,19,7,145,14,0,5,0,16,0,0.2381,0.7619,0.234,0.4255,0.3404,705,0,617,0,705,617,2,21,0,17,29,0
2021-03-23,618,618,0,14,3,150,12,0,2,0,2,0,0.5,0.5,0.5909,0.3182,0.0909,705,0,617,0,705,617,0,4,0,17,14,0
2021-03-24,620,620,0,18,3,79,13,0,4,0,3,0,0.5714,0.4286,0.4348,0.1739,0.3913,705,0,619,0,705,619,3,7,0,17,16,0
2021-03-25,620,620,0,31,8,76,11,4,5,0,49,0.069,0.0862,0.8448,0.2857,0.0879,0.6264,705,0,619,0,705,619,2,58,0,17,70,0
2021-03-26,620,620,0,21,0,76,11,0,0,0,0,0,0,0,0.92,0,0.08,705,0,619,0,705,619,1,0,0,17,9,0
2021-03-27,620,620,0,3,0,75,11,0,0,0,0,0,0,0,0.6667,0,0.3333,705,0,619,0,705,619,0,0,0,17,0,0
2021-03-28,622,622,0,3,1,73,11,2,0,0,2,1,0,1,0.75,0,0.25,705,0,621,0,705,621,0,2,0,17,3,0
2021-03-29,623,623,0,39,2,82,11,2,0,0,1,1,0,0.5,0.92,0.02,0.06,706,0,622,0,706,622,0,2,0,17,7,0
2021-03-30,623,623,0,19,2,89,11,0,0,0,2,0,0,1,0.8095,0,0.1905,706,0,622,0,706,622,0,2,0,17,6,0
2021-03-31,623,623,0,8,3,84,10,2,0,0,11,0.1818,0,1,0.3214,0.0357,0.6429,706,0,622,0,706,622,6,11,0,17,17,0
2021-04-01,623,623,0,23,5,77,7,8,2,0,10,0.4211,0.1053,0.5263,0.902,0.0392,0.0588,706,0,622,0,706,622,1,19,0,17,25,0
2021-04-02,623,623,0,30,3,82,8,7,0,0,49,0.1273,0,0.8909,0.4353,0.0118,0.5529,706,0,622,0,706,622,3,55,0,17,58,0
2021-04-03,623,623,0,10,0,81,8,0,0,0,0,0,0,0,0.9091,0,0.0909,706,0,622,0,706,622,0,0,0,17,0,0
2021-04-04,623,623,0,2,0,81,8,0,0,0,0,0,0,0,1,0,0,706,0,622,0,706,622,0,0,0,17,0,0
2021-04-05,623,623,0,20,2,70,7,1,1,0,0,0.5,0.5,0,0.7179,0.2564,0.0256,706,0,622,0,706,622,0,2,0,17,4,0
2021-04-06,622,622,0,29,3,64,8,2,0,0,3,0.6667,0,1,0.7826,0.1087,0.1087,707,0,621,0,707,621,0,3,0,17,6,0
2021-04-07,623,623,0,6,0,67,8,0,0,0,0,0,0,0,0.9286,0.0714,0,707,0,622,0,707,622,0,0,0,17,2,0
2021-04-08,623,623,0,20,4,68,9,16,0,0,23,0.4103,0,0.5897,0.5955,0,0.4045,707,0,622,0,707,622,0,39,0,17,42,0
2021-04-09,623,623,0,15,1,63,8,2,0,0,2,1,0,1,0.8889,0,0.1111,707,0,622,0,707,622,0,2,0,17,2,0
2021-04-10,623,623,0,7,3,60,8,1,0,0,3,0.3333,0,1,0.5,0,0.5,707,0,622,0,707,622,0,3,0,17,3,0
2021-04-11,623,623,0,5,0,62,8,0,0,0,0,0,0,0,0.9286,0,0.0714,707,0,622,0,707,622,0,0,0,17,0,0
2021-04-12,623,623,0,25,4,63,10,3,6,0,17,0.1154,0.2308,0.6538,0.6327,0.1429,0.2245,707,0,622,0,707,622,0,26,0,17,31,0
2021-04-13,624,624,0,12,7,54,14,5,3,0,22,0.1923,0.1154,0.8462,0.3261,0.2174,0.4565,708,0,623,0,708,623,0,26,0,17,32,0
2021-04-14,624,624,0,19,4,57,14,2,1,0,3,0.4,0.2,0.6,0.6071,0.25,0.1429,708,0,623,0,708,623,0,5,0,17,10,0
2021-04-15,624,624,0,26,5,57,14,8,0,0,14,0.381,0,0.6667,0.7931,0,0.2069,708,0,623,0,708,623,0,21,0,17,27,0
2021-04-16,624,624,0,20,4,59,15,1,3,0,20,0.0435,0.1304,0.8696,0.2727,0.2727,0.4545,708,0,623,0,708,623,0,23,0,17,28,0
2021-04-17,624,624,0,8,3,61,14,4,0,0,5,0.8,0,1,0.5,0.2222,0.2778,708,0,623,0,708,623,0,5,0,17,5,0
2021-04-18,624,624,0,3,2,58,14,1,2,0,1,0.3333,0.6667,0.3333,0.4,0.2,0.4,708,0,623,0,708,623,0,3,0,17,3,0
2021-04-19,624,624,0,17,7,52,15,0,13,0,22,0,0.3714,0.6286,0.2031,0.4688,0.3281,708,0,623,0,708,623,0,35,0,17,41,0
2021-04-20,624,624,0,9,1,53,12,0,0,0,1,0,0,1,0.5833,0.25,0.1667,708,0,623,0,708,623,0,1,0,17,5,0
2021-04-21,624,624,0,9,5,50,13,1,20,0,1,0.0476,0.9524,0.0476,0.1053,0.8158,0.0789,708,0,623,0,708,623,0,21,0,17,25,0
2021-04-22,624,624,0,22,7,49,13,7,4,0,2,0.5385,0.3077,0.1538,0.85,0.125,0.025,708,0,623,0,708,623,4,13,0,17,21,0
2021-04-23,624,624,0,25,7,49,13,7,2,0,72,0.0909,0.026,0.9351,0.2613,0.1441,0.5946,708,0,623,0,708,623,0,77,0,17,78,0
2021-04-24,624,624,0,7,0,49,13,0,0,0,0,0,0,0,0.875,0.125,0,708,0,623,0,708,623,0,0,0,17,0,0
2021-04-25,624,624,0,17,5,56,14,27,0,0,3,0.9643,0,0.1071,0.8611,0,0.1389,708,0,623,0,708,623,0,28,0,17,28,0
2021-04-26,625,625,0,64,12,87,15,38,7,0,47,0.7037,0.1296,0.8704,0.6031,0.0876,0.3093,717,0,624,0,717,624,0,54,0,18,61,2
2021-04-27,631,631,0,26,10,91,16,1,15,0,110,0.0079,0.119,0.873,0.1063,0.1938,0.7,717,0,630,0,717,630,0,126,0,18,134,0
2021-04-28,631,631,0,34,8,99,16,24,1,0,19,0.8571,0.0357,0.6786,0.6477,0.0227,0.3295,717,0,630,0,717,630,0,28,0,18,38,0
2021-04-29,631,631,0,23,9,100,17,4,3,0,82,0.0449,0.0337,0.9213,0.1802,0.0721,0.7477,717,0,630,0,717,630,1,89,0,18,95,0
2021-04-30,631,631,0,37,8,107,18,0,5,0,36,0,0.122,0.878,0.4831,0.1011,0.4157,717,0,630,0,717,630,1,41,0,18,46,0
2021-05-01,631,631,0,8,2,107,18,0,1,0,1,0,0.5,0.5,0.7,0.1,0.2,717,0,630,0,717,630,0,2,0,18,2,0
2021-05-02,631,631,0,9,1,104,18,0,0,0,2,0,0,1,0.8,0.1,0.1,717,0,630,0,717,630,0,2,0,18,2,0
